id,name,email,affiliation,submission_status,due_date,submitted_at
P001,김가람,garam.kim@example.com,하이대학교,제출,2026-07-18,2026-07-16
P002,이누리,nuri.lee@example.com,한빛연구소,미제출,2026-07-18,
P003,박다온,daon.park@example.com,새봄대학교,제출,2026-07-18,2026-07-18
P004,최라온,raon.choi@example.com,하이대학교,완료,2026-07-18,2026-07-17
P005,정마루,maru.jung@example.com,한빛연구소,미제출,2026-07-18,
P006,강보람,,새봄대학교,제출,2026-07-18,2026-07-15
P007,윤서우,seowoo.yoon@example.com,하이대학교,제출,2026-07-18,2026-07-18
P008,한아람,aram.han@example.com,한빛연구소,미제출,2026-07-18,
P009,송이든,eden.song@example.com,새봄대학교,제출,2026-07-18,2026-07-14
P010,임지음,jieum.lim@example.com,하이대학교,제출,2026-07-18,2026-07-19
P011,오하람,garam.kim@example.com,한빛연구소,제출,2026-07-18,2026-07-17
P012,배해온,haeon.bae@example.com,새봄대학교,미제출,2026-07-18,

